,title,beds,bath,adress,price,area
69,2000 Sq Ft Good Looking Flat In Uttara Is Now For Rent Nearby Oasis Intermediate College,3.0,4.0,"uttara,dhaka",35000.0,2000
70,3200 Sq Ft Apartment Is Available For Rent In Gulshan,4.0,4.0,"gulshan,gulshan,dhaka",250000.0,3200
71,A Convenient 3200 Sq Ft Residential Home Is Prepared To Be Rented At Gulshan,4.0,4.0,"gulshan,gulshan,dhaka",250000.0,3200
72,"A very beautiful 1200 SQ FT flat is now available for rent in Khulshi, Road No 7",3.0,3.0,"nasirabadpropertiesresidentialarea,khulshi,chattogram",25000.0,1200
73,A Spacious And Modern Apartment Of 6300 Sq Ft Is For Rent In Baridhara,4.0,5.0,"baridhara,dhaka",400000.0,6300
74,We Are Pleased To Offer This Amazing 6300 Sq Ft Apartment In Baridhara Close To Uttar Baridhara Baitur Nur Jame Mosjid.,4.0,5.0,"baridhara,dhaka",350000.0,6300
75,"1407 Sq Ft Delightful Flat Is Up For Rent In Mohammadpur, Katashur",3.0,4.0,"katashur,mohammadpur,dhaka",27000.0,1407
76,A Very Affordable 1850 Sq Ft Flat With Good Transportation Availability Is For Rent In Dhanmondi,3.0,4.0,"dhanmondi,dhaka",60000.0,1850
77,"To Live A Secure Life You Can Take This 1850 Sq Ft Flat For Rent At Dhanmondi, Central Road",3.0,4.0,"dhanmondi,dhaka",60000.0,1850
78,2500 Square Feet Residential Flat For Rent In Merul Badda,4.0,5.0,"merulbadda,badda,dhaka",70000.0,2500
79,"See This 3000 Sq Ft Residential Apartment To Rent Located In Sector 3, Uttara",5.0,3.0,"uttara,dhaka",120000.0,3000
80,Residential Apartment Is Open For Rental Purpose In Katashur Saikat Housing Society.,3.0,2.0,"katashur,mohammadpur,dhaka",22000.0,1150
81,"900 Square Feet Apartment For Rent In Mohammadpur, Pc Culture Housing",2.0,2.0,"pcculturehousing,mohammadpur,dhaka",15500.0,900
82,2200 Sq Ft Luxurious Apartment Is Ready For Rent In Gulshan 2 Near Gulshan Police Station,3.0,4.0,"gulshan,gulshan,dhaka",95000.0,2200
83,Well Planned Flat For Rent In Uttara Near The Aga Khan School,3.0,4.0,"uttara,dhaka",42000.0,1975
84,"1300 Sq Ft Flat With Nice Rooms For Rent In Mirpur-2, Borobag",3.0,3.0,"section,mirpur,dhaka",25000.0,1300
85,Grab A 1500 Sq Ft Flat For Rent At Shantinagar Close To Popular Hospital,3.0,4.0,"shantinagar,dhaka",40000.0,1500
86,A Very Beautiful 960 Sq Ft Home Is Now Available For Rent In North Pirerbag,3.0,2.0,"pirerbag,mirpur,dhaka",13000.0,960
87,Be The Occupant Of This 960 Sq Ft Residential Apartment Vacant For Rent At North Pirerbag,3.0,2.0,"pirerbag,mirpur,dhaka",13000.0,960
88,"See, This Beautiful Apartment And Make It Your New Home Which Is Up For Rent In Naya Paltan",4.0,3.0,"nayapaltan,motijheel,dhaka",40000.0,1400
89,"An Apartment Is Up For Rent In Khulshi, Nearby Women College.",3.0,4.0,"southkhulshi,khulshi,chattogram",35000.0,1450
90,"An Apartment Is Ready For Rent At Khulshi, Nearby Women College.",3.0,4.0,"southkhulshi,khulshi,chattogram",35000.0,2000
91,Ready Flat Is Now For Rent In Mohammadpur Nearby Mohammadpur Tokyo Square,2.0,2.0,"kaderabadhousingsociety,bosila,mohammadpur,dhaka",18000.0,950
92,For Rental Purpose 1100 Square Feet Flat Is Available In Motijheel,2.0,2.0,"nayapaltan,motijheel,dhaka",22000.0,1100
93,"Create Your New Home In A 1200 Sq Ft Semi Furnished Nice Flat For Rent In Uttara, Near Trust College",3.0,3.0,"uttara,dhaka",45000.0,1200
94,An Apartment Is Ready For Rent At Zakir Hossain Housing Society Near South Khulshi Jame Mosque,3.0,3.0,"zakirhossainhousingsociety,southkhulshi,khulshi,chattogram",25000.0,1750
95,1350 Sq Ft Road Sided Apartment For Rent In Nasirabad Properties Residential Area,3.0,3.0,"nasirabadpropertiesresidentialarea,khulshi,chattogram",23000.0,1350
96,"A Suitable Flat Of 1100 Sq Ft With 3 Bedrooms For Rent In Mirpur, East Kazipara",3.0,3.0,"eastkazipara,mirpur,dhaka",16000.0,1100
97,"In An Urban Location And Reasonable Price, This 3 Bedroom Flat Is Available For Rent In South Khulshi-VIP Housing Society.",3.0,3.0,"viphousingsociety,southkhulshi,khulshi,chattogram",35000.0,2000
98,"A 2000 Square Feet Beautiful Apartment Is Ready For Rent At Vip Housing Society, South Khulshi",3.0,3.0,"viphousingsociety,southkhulshi,khulshi,chattogram",35000.0,2000
